,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image
2765,58140,Women,Accessories,Jewellery,Earrings,Silver,Fall,2012,Casual,Rreverie Silver Earrings,58140.jpg
4824,28404,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016,Casual,Idee Men Black Sunglasses,28404.jpg
784,9235,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Formal,Mark Taylor Men Plain Blue Shirts,9235.jpg
519,11144,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,Scullers Men Price Catch Black Shirts,11144.jpg
4262,25111,Women,Accessories,Belts,Belts,Beige,Winter,2015,Casual,Lino Perros Women Beige Belt,25111.jpg
2988,8924,Men,Accessories,Belts,Belts,Black,Winter,2015,Casual,Puma Men Cat  Black Belt,8924.jpg
4282,45232,Men,Accessories,Watches,Watches,Navy Blue,Winter,2016,Casual,CASIO YOUTH Men Navy Dial Analogue & Digital Time Watch AD182,45232.jpg
3457,34234,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2013,Casual,Proline Men Navy Polo T-shirt,34234.jpg
3632,24400,Women,Apparel,Topwear,Kurtas,Black,Summer,2012,Ethnic,Vishudh Women Black Printed Kurta,24400.jpg
4671,14007,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Nike Men Printed White Tshirts,14007.jpg
3693,38609,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012,Casual,Nike Men Printed Blue T-shirt,38609.jpg
2395,15923,Unisex,Accessories,Bags,Backpacks,Black,Fall,2011,Casual,ADIDAS Unisex ADP1810 Black Backpack,15923.jpg
2874,20892,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,Basics Men Black Casual Shoes,20892.jpg
4852,34269,Women,Apparel,Topwear,Dupatta,Mauve,Summer,2012,Ethnic,Fabindia Women Mauve Silk Dupatta,34269.jpg
3301,35312,Women,Accessories,Jewellery,Earrings,Silver,Winter,2016,Ethnic,Fabindia Women Anusuya Silver Earrings,35312.jpg
457,58184,Women,Accessories,Bags,Handbags,Beige,Summer,2012,Casual,Rocky S Women Beige Handbag,58184.jpg
250,8913,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Puma Men Cabana Racer Sketch White Sports Shoes,8913.jpg
158,56670,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Maxima Men Black Dial Watch,56670.jpg
722,36905,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Fossil Men Black Dial Watch ME1113,36905.jpg
1496,33285,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012,Casual,Arrow Sport Men Striped Blue Polo T-shirt,33285.jpg
4737,45804,Women,Footwear,Shoes,Heels,Black,Summer,2012,Casual,Senorita Women Black Flats,45804.jpg
2818,52822,Women,Accessories,Jewellery,Earrings,Red,Fall,2012,Ethnic,Adrika Women Red & White Earrings,52822.jpg
1662,24669,Men,Footwear,Shoes,Casual Shoes,Red,Fall,2011,Casual,Converse Men Red Casual Shoes,24669.jpg
1221,19788,Men,Apparel,Topwear,Tshirts,Green,Winter,2016,Casual,U.S. Polo Assn. Men Solid Green Tshirt,19788.jpg
866,57131,Women,Apparel,Topwear,Tops,Teal,Summer,2012,Casual,Elle Women Teal Top,57131.jpg
4095,47531,Women,Footwear,Shoes,Flats,Gold,Winter,2012,Casual,Portia Women Purple & Gold-Toned Sandals,47531.jpg
747,47992,Women,Accessories,Watches,Watches,Black,Winter,2016,Casual,Helix Women Black Watch,47992.jpg
2674,4319,Unisex,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,Tantra Kid's Unisex Free Spirit Turquoise Kidswear,4319.jpg
3762,46622,Women,Footwear,Shoes,Heels,Multi,Summer,2016,Casual,Catwalk Women Multi colour Wedges,46622.jpg
414,47508,Men,Apparel,Innerwear,Briefs,Black,Summer,2016,Casual,Facit Men Black Brief,47508.jpg
4443,30850,Women,Apparel,Topwear,Kurtas,Multi,Summer,2012,Ethnic,Fabindia Women Printed Multi Coloured Kurta,30850.jpg
2970,28806,Men,Apparel,Topwear,Shirts,Black,Summer,2012,Casual,Denizen Men Check Black Shirt,28806.jpg
4116,3700,Women,Apparel,Topwear,Tshirts,Purple,Summer,2011,Casual,Tantra Women's Flower Heart Lavender Long T-shirt,3700.jpg
3294,6415,Unisex,Footwear,Shoes,Casual Shoes,Blue,Summer,2011,Casual,Lotto Unisex Canvas Purple Yellow Shoe,6415.jpg
2085,41660,Men,Apparel,Topwear,Shirts,Blue,Summer,2012,Formal,Mark Taylor Men Blue Striped Shirt,41660.jpg
3255,6886,Women,Apparel,Topwear,Jackets,Black,Summer,2011,Casual,Forever New Women Puff Sleeve Tux Black Jacket,6886.jpg
4107,15516,Men,Footwear,Flip Flops,Flip Flops,Navy Blue,Fall,2011,Casual,Rockport Men Altrezlp Navy Blue Flip Flops,15516.jpg
299,57756,Women,Personal Care,Skin Care,Face Wash and Cleanser,Green,Spring,2017,Casual,Lotus Herbals Neem & Clove Purifying Face Wash,57756.jpg
3381,5600,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,2011,Sports,Reebok Men's Trail Mud Slinger Black Blue Shoe,5600.jpg
3806,36303,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Angry Birds Men Black Stop The Madness T-shirt,36303.jpg
1590,11777,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Lee Men Printed Red Tshirts,11777.jpg
2763,57934,Men,Footwear,Sandal,Sandals,Brown,Spring,2012,Casual,Clarks Men Brown Sandals,57934.jpg
4823,54982,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Blue,Summer,2017,Casual,Femella Women Printed Blue Lounge Pants,54982.jpg
3730,50575,Men,Apparel,Innerwear,Trunk,Grey Melange,Summer,2016,Casual,Chromozome Men Grey Trunks,50575.jpg
1057,43199,Men,Accessories,Watches,Watches,Metallic,Winter,2016,Casual,Fastrack Men Gunmetal-Toned Dial Watch NA3015AL01,43199.jpg
1868,10000,Women,Apparel,Bottomwear,Skirts,White,Summer,2011,Casual,Palm Tree Girls Sp Jace Sko White Skirts,10000.jpg
2047,40119,Women,Apparel,Topwear,Tshirts,Orange,Summer,2012,Casual,ADIDAS Women Orange T-shirt,40119.jpg
2873,56812,Women,Apparel,Topwear,Kurtis,Multi,Summer,2012,Ethnic,Aneri Women Multi Coloured Kurti,56812.jpg
3460,16164,Men,Footwear,Sandal,Sandals,Brown,Summer,2012,Casual,Enroute Men Leather Brown Sandals,16164.jpg
3587,22358,Men,Apparel,Topwear,Shirts,Beige,Fall,2011,Casual,John Players Men Solid Beige Shirt,22358.jpg
